TIME;SEX;GEO;AGE;Value
2019;Male;15: Algarve;5 anos;0
2019;Male;15: Algarve;6 anos;0
2019;Male;15: Algarve;7 anos;1
2019;Male;15: Algarve;8 anos;1
2019;Male;15: Algarve;9 anos;0
2019;Male;15: Algarve;10 anos;0
2019;Male;15: Algarve;11 anos;0
2019;Male;15: Algarve;12 anos;0
2019;Male;15: Algarve;13 anos;0
2019;Male;15: Algarve;14 anos;1
2019;Male;15: Algarve;15 anos;0
2019;Male;15: Algarve;16 anos;0
2019;Male;15: Algarve;17 anos;1
2019;Male;15: Algarve;18 anos;3
2019;Male;15: Algarve;19 anos;4
2019;Male;15: Algarve;20 anos;0
2019;Male;15: Algarve;21 anos;5
2019;Male;15: Algarve;22 anos;1
2019;Male;15: Algarve;23 anos;1
2019;Male;15: Algarve;24 anos;3
